Título;ISSN impresa;ISSN en linea;Instituto/Editorial;NBRA;URL_NBRA;DOAJ;URL_DOAJ;Latindex;URL_Latindex;Redalyc;URL_Redalyc;Scimago;URL_Scimago;Scielo;URL_Scielo;WoS;URL_WoS;Biblat;URL_Biblat;Dialnet;URL_Dialnet
Revista de estudios clásicos;0325-3465;2469-0643;Instituto de Lenguas y Literaturas Clásicas;true;https://www.caicyt-conicet.gov.ar/sitio/revista-de-estudios-clasicos/;true;https://doaj.org/toc/2469-0643;true;https://www.latindex.org/latindex/ficha/23460;false;null;false;null;false;null;false;null;true;https://biblat.unam.mx/es/revista/revista-de-estudios-clasicos/articulo/amicitia-y-auto-ejemplaridad-en-las-epistulae-morales-de-seneca;true;https://dialnet.unirioja.es/servlet/revista?codigo=14750
Revista de estudios marítimos y sociales;1852-0669;2545-6237;Universidad Nacional de Mar del Plata, Grupo de Estudios Marítimos y Sociales;true;https://www.caicyt-conicet.gov.ar/sitio/revista-de-estudios-maritimos-y-sociales-en-linea/;true;https://doaj.org/toc/2545-6237;true;https://www.latindex.org/latindex/ficha/23229;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;true;https://dialnet.unirioja.es/servlet/revista?codigo=25918
Revista de estudios procesales;0326-9981;;;false;null;false;null;false;null;false;null;false;null;false;null;false;null;true;https://biblat.unam.mx/es/revista/revista-de-estudios-procesales/articulo/acerca-de-la-falta-de-acusacion-en-el-proceso-penal-santafesino;false;null
Revista de estudios regionales y mercado de trabajo;1669-9084;;;false;null;false;null;false;null;false;null;false;null;false;null;false;null;false;null;true;https://dialnet.unirioja.es/servlet/revista?codigo=18033
Revista de estudios sobre genocidio;1851-8184;2362-3985;Universidad Nacional de Tres de Febrero, Centro de Estudios sobre Genocidio;true;https://www.caicyt-conicet.gov.ar/sitio/revista-de-estudios-sobre-genocidio-en-linea/;true;https://doaj.org/toc/2362-3985;true;https://www.latindex.org/latindex/ficha/9565;false;null;false;null;false;null;false;null;false;null;false;null
Revista de Filosofía (La Plata);2953-3392;;UNIV NAC LA PLATA, FAC HUMANIDADES & CIENCIAS EDUC , CALLE 48 E-6 & 7,PISO 5, OF 517, LA PLATA, ARGENTINA, BUENOS AIRES, 1900;false;null;false;null;false;null;false;null;false;null;false;null;true;null;false;null;true;https://dialnet.unirioja.es/servlet/revista?codigo=28327
Revista de Filosofía Jurídica y Social;2314-128X;;;false;null;false;null;false;null;false;null;false;null;false;null;false;null;false;null;true;https://dialnet.unirioja.es/servlet/revista?codigo=26951
Revista de filosofía y teoría política;0328-6223;2314-2553;Universidad Nacional de La Plata. Facultad de Humanidades y Ciencias de la Educación. Departamento de Filosofía.;true;https://www.caicyt-conicet.gov.ar/sitio/revista-de-filosofia-y-teoria-politica/;false;null;true;https://www.latindex.org/latindex/ficha/14458;false;null;false;null;false;null;false;null;true;https://biblat.unam.mx/es/revista/revista-de-filosofia-y-teoria-politica/articulo/afinidades-conceptuales-entre-plotino-y-nicolas-de-cusa;true;https://dialnet.unirioja.es/servlet/revista?codigo=17457
Revista de geografía;1514-1942;2618-2084;Universidad Nacional de San Juan, Facultad de Filosofía, Humanidades y Artes, Instituto de Geografía Aplicada, Departamento de Geografía;true;https://www.caicyt-conicet.gov.ar/sitio/revista-de-geografia-san-juan/;false;null;true;https://www.latindex.org/latindex/ficha/14483;false;null;false;null;false;null;false;null;false;null;false;null
Revista de geología aplicada a la ingeniería y al ambiente;1851-7838;2422-5703;Asociación Argentina de Geología Aplicada a la Ingeniería;true;https://www.caicyt-conicet.gov.ar/sitio/revista-de-geologia-aplicada-a-la-ingenieria-y-el-ambiente-en-linea/;true;https://doaj.org/toc/2422-5703;true;https://www.latindex.org/latindex/ficha/23887;false;null;false;null;true;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2422-5703&lng=es&nrm=iso;false;null;false;null;false;null
Revista de historia & humanidades médicas;1850-0064;;;false;null;false;null;false;null;false;null;false;null;false;null;false;null;true;https://biblat.unam.mx/es/revista/revista-de-historia-humanidades-medicas/articulo/actuacion-de-los-medicos-en-los-hospitales-portenos-durante-la-guerra-con-el-imperio-del-brasil;false;null
Revista de historia americana y argentina;0556-5960;2314-1549;Universidad Nacional de Cuyo, Facultad de Filosofía y Letras, Instituto de Historia;true;https://www.caicyt-conicet.gov.ar/sitio/revista-de-historia-americana-y-argentina/;true;https://doaj.org/toc/2314-1549;true;https://www.latindex.org/latindex/ficha/14515;false;null;false;null;true;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2314-1549&lng=es&nrm=iso;false;null;false;null;false;null
Revista de historia de las prisiones;;2451-6473;Universidad Nacional de Tucumán;true;https://www.caicyt-conicet.gov.ar/sitio/revista-de-historia-de-las-prisiones/;false;null;true;https://www.latindex.org/latindex/ficha/22071;false;null;false;null;false;null;false;null;false;null;false;null
Revista de historia del derecho;0325-1918;1853-1784;Instituto de Investigaciones de Historia del Derecho;true;https://www.caicyt-conicet.gov.ar/sitio/revista-de-historia-del-derecho/;false;null;false;null;false;null;false;null;true;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1853-1784&lng=es&nrm=iso;false;null;false;null;true;https://dialnet.unirioja.es/servlet/revista?codigo=1673
Revista de historia universal.;;2683-8869;Universidad Nacional de Cuyo, Facultad de Filosofía y Letras;false;null;false;null;true;https://www.latindex.org/latindex/ficha/27550;false;null;false;null;false;null;false;null;false;null;false;null
Revista de ictiología;0327-6090;;;false;null;false;null;false;null;false;null;false;null;false;null;false;null;true;https://biblat.unam.mx/es/revista/revista-de-ictiologia/articulo/caracteristicas-hematologicas-do-hibrido-tambacu-seis-e-24-horas-apos-a-injecao-de-substancias-irritantes-na-bexiga-natatoria;false;null
Revista de ingeniería (La Plata);0482-5772;;;false;null;false;null;false;null;false;null;false;null;false;null;false;null;true;https://biblat.unam.mx/es/revista/revista-de-ingenieria-la-plata/articulo/aplicacion-del-plan-nacional-de-agua-potable-a-localidades-rurales-en-la-provincia-de-buenos-aires;false;null
Revista de Interés Público (ReDIP);2545-8604;;;false;null;false;null;false;null;false;null;false;null;false;null;false;null;false;null;true;https://dialnet.unirioja.es/servlet/revista?codigo=26831
Revista de Investigación del Departamento de Humanidades y Ciencias Sociales;;2250-8139;Universidad Nacional de La Matanza;true;https://www.caicyt-conicet.gov.ar/sitio/rihumso/;true;https://doaj.org/toc/2250-8139;true;https://www.latindex.org/latindex/ficha/20478;true;https://www.redalyc.org/revista.oa?id=5819&tipo=coleccion;false;null;true;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2250-8139&lng=es&nrm=iso;false;null;false;null;false;null
Revista de investigación en modelos financieros;2250-687X;2250-6861;Centro de Investigación en Métodos Cuantitativos Aplicados a la Economía y la Gestión, Facultad de Ciencias Económicas, Universidad de Buenos Aires;false;null;false;null;true;https://www.latindex.org/latindex/ficha/5309;false;null;false;null;false;null;false;null;false;null;false;null
Revista de investigación y desarrollo pesquero;0325-6375;;;false;null;false;null;false;null;false;null;false;null;false;null;false;null;true;https://biblat.unam.mx/es/revista/revista-de-investigacion-y-desarrollo-pesquero/articulo/alimentacion-del-calamar-illex-argentinus-en-la-region-patagonica-durante-el-verano-de-los-anos-2006-2007-y-2008;false;null
Revista de investigación y disciplinas.;;2683-9040;Centro de Informática Educativa;false;null;false;null;true;https://www.latindex.org/latindex/ficha/25953;false;null;false;null;false;null;false;null;false;null;false;null
Revista de Investigaciones Agropecuarias;0325-8718;1669-2314;Instituto Nacional de Tecnologia Agropecuaria;true;https://www.caicyt-conicet.gov.ar/sitio/ria-revista-de-investigaciones-agropecuarias/;true;https://doaj.org/toc/1669-2314;false;null;true;https://www.redalyc.org/revista.oa?id=864&tipo=coleccion;true;https://www.scimagojr.com/journalsearch.php?q=21100395706&tip=sid&clean=0;true;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1669-2314&lng=es&nrm=iso;false;null;false;null;true;https://dialnet.unirioja.es/servlet/revista?codigo=8255
Revista de Investigaciones en Técnica Vocal;2347-0275;;;false;null;false;null;false;null;false;null;false;null;false;null;false;null;false;null;true;https://dialnet.unirioja.es/servlet/revista?codigo=26212
Revista de la Asociación Argentina de Ortopedia y Traumatología;1515-1786;1852-7434;Asociación Argentina de Ortopedia y Traumatología;true;https://www.caicyt-conicet.gov.ar/sitio/revista-de-la-asociacion-argentina-de-ortopedia-y-traumatologia/;true;https://doaj.org/toc/1852-7434;true;https://www.latindex.org/latindex/ficha/14645;false;null;false;null;true;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-7434&lng=es&nrm=iso;false;null;false;null;false;null
Revista de la Asociación de Ciencias Naturales del Litoral;0325-2809;;;false;null;false;null;false;null;false;null;false;null;false;null;false;null;true;https://biblat.unam.mx/es/revista/revista-de-la-asociacion-de-ciencias-naturales-del-litoral/articulo/algunas-menoponidae-insecta-phthiraptera-de-aves-bonaerenses;false;null
Revista de la Asociacion Geologica Argentina;0004-4822;1851-8249;Asociacion Geologica Argentina;true;https://www.caicyt-conicet.gov.ar/sitio/revista-de-la-asociacion-geologica-argentina/;false;null;false;null;false;null;true;https://www.scimagojr.com/journalsearch.php?q=24663&tip=sid&clean=0;false;null;false;null;false;null;false;null
Revista de la Asociacion Odontologica Argentina;0004-4881;2683-7226;Asociacion Odontologica Argentina;true;https://www.caicyt-conicet.gov.ar/sitio/revista-de-la-asociacion-odontologica-argentina/;true;https://doaj.org/toc/2683-7226;true;https://www.latindex.org/latindex/ficha/25956;false;null;true;https://www.scimagojr.com/journalsearch.php?q=24317&tip=sid&clean=0;true;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2683-7226&lng=es&nrm=iso;false;null;false;null;false;null
Revista de la carrera de sociología;;1853-6484;Universidad de Buenos Aires, Facultad de Ciencias Sociales, Carrera de Sociología;true;https://www.caicyt-conicet.gov.ar/sitio/revista-de-la-carrera-de-sociologia-universidad-de-buenos-aires/;true;https://doaj.org/toc/1853-6484;true;https://www.latindex.org/latindex/ficha/19713;false;null;false;null;false;null;false;null;false;null;false;null
Revista de la Escuela de Antropología;1852-1576;2618-2998;Universidad Nacional de Rosario;true;https://www.caicyt-conicet.gov.ar/sitio/revista-de-la-escuela-de-antropologia-en-linea/;true;https://doaj.org/toc/2618-2998;true;https://www.latindex.org/latindex/ficha/26968;false;null;false;null;false;null;false;null;false;null;false;null
Revista de la Escuela de Ciencias de la Educación;1851-6297;2362-3349;Universidad Nacional de Rosario, Facultad de Humanidades y Artes, Escuela de Ciencias de la Educación;true;https://www.caicyt-conicet.gov.ar/sitio/revista-de-la-escuela-de-ciencias-de-la-educacion/;true;https://doaj.org/toc/2362-3349;true;https://www.latindex.org/latindex/ficha/14693;true;https://www.redalyc.org/revista.oa?id=6897&tipo=coleccion;false;null;false;null;false;null;false;null;false;null
Revista de la Escuela de Economía y Negocios;1514-2779;;;false;null;false;null;false;null;false;null;false;null;false;null;false;null;false;null;true;https://dialnet.unirioja.es/servlet/revista?codigo=1188
Revista de la Escuela de Perfeccionamiento en Investigación Operativa;0329-7322;1853-9777;Universidad Nacional del Centro de la Provincia de Buenos Aires. Facultad de Ciencias Económicas. Escuela de Perfeccionamiento en Investigación Operativa.;false;null;false;null;true;https://www.latindex.org/latindex/ficha/14698;false;null;false;null;false;null;false;null;false;null;false;null
Revista de la Facultad;1850-9371;2314-3061;;true;https://www.caicyt-conicet.gov.ar/sitio/revista-de-la-facultad/;false;null;false;null;false;null;false;null;false;null;false;null;false;null;false;null
Revista de la Facultad de Agronomía;0041-8676;1669-9513;Universidad Nacional de La Plata, Facultad de Ciencias Agrarias y Forestales.;true;https://www.caicyt-conicet.gov.ar/sitio/revista-de-la-facultad-de-agronomia-la-plata/;true;https://doaj.org/toc/1669-9513;true;https://www.latindex.org/latindex/ficha/14709;false;null;false;null;false;null;false;null;false;null;false;null
Revista de la Facultad de Ciencias Agrarias;0370-4661;1853-8665;Universidad Nacional de Cuyo. Facultad de Ciencias Agrarias;true;https://www.caicyt-conicet.gov.ar/sitio/revista-de-la-facultad-de-ciencias-agrarias-universidad-nacional-de-cuyo/;true;https://doaj.org/toc/1853-8665;true;https://www.latindex.org/latindex/ficha/10479;false;null;true;https://www.scimagojr.com/journalsearch.php?q=19600161819&tip=sid&clean=0;true;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1853-8665&lng=es&nrm=iso;false;null;false;null;false;null
Revista de la Facultad de Ciencias Económicas;1668-6357;1668-6365;Universidad Nacional del Nordeste, Facultad de Ciencias Económicas;true;https://www.caicyt-conicet.gov.ar/sitio/revista-de-la-facultad-de-ciencias-economicas-en-linea/;true;https://doaj.org/toc/1668-6365;true;https://www.latindex.org/latindex/ficha/14716;false;null;false;null;false;null;false;null;false;null;true;https://dialnet.unirioja.es/servlet/revista?codigo=27407
