Título;ISSN impresa;ISSN en linea;Instituto;URL
Relaciones;0325-2221;1852-1479;Sociedad Argentina de Antropología;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-1479&lng=es&nrm=iso
Relaciones internacionales;;2314-2766;Universidad Nacional de La Plata Facultad de Ciencias Jurídicas y Sociales;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2314-2766&lng=es&nrm=iso
Respirar;;2953-3414;Asociación Latinoamericana de Tórax;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2953-3414&lng=es&nrm=iso
Revista americana de medicina respiratoria;;1852-236X;Asociación Argentina de Medicina Respiratoria;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-236X&lng=es&nrm=iso
Revista argentina de antropología biológica;;1514-7991;Asociación de Antropología Biológica Argentina;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1514-7991&lng=es&nrm=iso
Revista argentina de cardiología;;1850-3748;Sociedad Argentina de Cardiología;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1850-3748&lng=es&nrm=iso
Revista argentina de cirugía;2250-639X;2250-639X;Asociación Argentina de Cirugía;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2250-639X&lng=es&nrm=iso
Revista argentina de dermatología;;1851-300X;Asociación Argentina de Dermatología;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-300X&lng=es&nrm=iso
Revista argentina de estudios de juventud;;1852-4907;Universidad Nacional de La Plata Facultad de Periodismo y Comunicación Social;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-4907&lng=es&nrm=iso
Revista argentina de microbiología;0325-7541;1851-7617;Asociación Argentina de Microbiología;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=0325-7541&lng=es&nrm=iso
Revista argentina de radiología;;1852-9992;Sociedad Argentina de Radiología (SAR) y Federación Argentina de Diagnóstico por Imágenes y Terapia Radiante (FAARDIT);https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-9992&lng=es&nrm=iso
Revista argentina de reumatología;0327-4411;2362-3675;Sociedad Argentina de Reumatología;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2362-3675&lng=es&nrm=iso
Revista Argentina de Salud Pública;1852-8724;1853-810X;Ministerio de Salud de la Nación Argentina;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1853-810X&lng=es&nrm=iso
Revista de Ciencia y Tecnología;;1851-7587;Centro de Investigación y Desarrollo Tecnológico, Facultad de Ciencias Exactas, Química y Naturales, Universidad Nacional de Misiones;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-7587&lng=es&nrm=iso
Revista de enseñanza de la física;0326-7091;2250-6101;Asociación de Profesores de Física de la Argentina;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2250-6101&lng=es&nrm=iso
Revista de extensión universitaria;;2346-9986;Universidad Nacional del Litoral;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2346-9986&lng=es&nrm=iso
Revista de geología aplicada a la ingeniería y al ambiente;;2422-5703;Asociación Argentina de Geología Aplicada a la Ingeniería;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2422-5703&lng=es&nrm=iso
Revista de historia americana y argentina;2314-1549;2314-1549;Editorial de la Facultad de Filosofía y Letras-Universidad Nacional de Cuyo;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2314-1549&lng=es&nrm=iso
Revista de historia del derecho;;1853-1784;Instituto de Investigaciones de Historia del Derecho;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1853-1784&lng=es&nrm=iso
Revista de la Asociación Argentina de Ortopedia y Traumatología;;1852-7434;Asociación Argentina de Ortopedia y Traumatología;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-7434&lng=es&nrm=iso
Revista de la Asociación Odontológica Argentina;;2683-7226;Asociación Odontológica Argentina;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2683-7226&lng=es&nrm=iso
Revista de la Facultad de Ciencias Agrarias. Universidad Nacional de Cuyo;;1853-8665;Revista de la Facultad de Ciencias Agrarias. Universidad Nacional de Cuyo;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1853-8665&lng=es&nrm=iso
Revista de la Sociedad Argentina de Diabetes;0325-5247;2346-9420;Sociedad Argentina de Diabetes;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2346-9420&lng=es&nrm=iso
Revista de la Sociedad Entomológica Argentina;0373-5680;1851-7471;Sociedad Entomológica Argentina;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=0373-5680&lng=es&nrm=iso
Revista de nefrologia, dialisis y trasplante;;2346-8548;Asociación Regional de Diálisis y Trasplantes Renales de Capital Federal y Provincia de Buenos Aires;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2346-8548&lng=es&nrm=iso
Revista de Psicología;;2469-2050;Pontificia Universidad Católica Argentina;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2469-2050&lng=es&nrm=iso
Revista del Museo Argentino de Ciencias Naturales;;1853-0400;Museo Argentino de Ciencias Naturales Bernardino Rivadavia e Instituto Nacional de Investigación de las Ciencias Naturales;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1853-0400&lng=es&nrm=iso
Revista del Museo de Antropología;1852-060X;1852-4826;Museo de Antropología, Facultad de Filosofía y Humanidades, Universidad Nacional de Córdoba;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-4826&lng=es&nrm=iso
Revista Electrónica de Derecho Internacional Contemporáneo;;2618-303X;Universidad Nacional de La Plata, Facultad de Ciencias Jurídicas y Sociales Instituto de Relaciones Internacionales;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2618-303X&lng=es&nrm=iso
Revista electrónica de investigación en educación en ciencias;;1850-6666;Facultad de Ciencias Exactas. Universidad Nacional del Centro de la Provincia de Buenos Aires y el Núcleo de Investigación en Educación en Ciencias y Tecnología (NIECyT);https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1850-6666&lng=es&nrm=iso
Revista Eurolatinoamericana de Derecho Administrativo;;2362-583X;Universidad Nacional del Litoral;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2362-583X&lng=es&nrm=iso
Revista FAVE. Sección Ciencias veterinarias;;2362-5589;Universidad Nacional del Litoral;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2362-5589&lng=es&nrm=iso
Revista Iberoamericana de Tecnología en Educación y Educación en Tecnología;1851-0086;1850-9959;Red de Universidades Nacionales con Carreras de Informática;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1850-9959&lng=es&nrm=iso
Revista latinoamericana de filosofía;;1852-7353;Centro de Investigaciones Filosóficas;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-7353&lng=es&nrm=iso
Revista psicodebate: psicología, cultura y sociedad;;2451-6600;Universidad de Palermo, Facultad de Ciencias Sociales;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2451-6600&lng=es&nrm=iso
Revista SAAP;;1853-1970;Sociedad Argentina de Análisis Político;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1853-1970&lng=es&nrm=iso
Revista Teología;;2683-7307;Pontificia Universidad Católica Argentina;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2683-7307&lng=es&nrm=iso
Revista Universitaria de Geografía;;1852-4265;Departamento de Geografía y Turismo. Universidad Nacional del Sur.;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-4265&lng=es&nrm=iso
Revista veterinaria;;1669-6840;Universidad Nacional del Nordeste, Facultad de Ciencias Veterinarias;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1669-6840&lng=es&nrm=iso
RIA. Revista de investigaciones agropecuarias;;1669-2314;Instituto Nacional de Tecnologia Agropecuaria (INTA);https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1669-2314&lng=es&nrm=iso
RiHumSo;;2250-8139;Universidad Nacional de La Matanza;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2250-8139&lng=es&nrm=iso
Runa;;1851-9628;Instituto de Ciencias Antropológicas, Facultad de Filosofía y Letras, Universidad de Buenos Aires;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-9628&lng=es&nrm=iso
SaberEs;1852-4418;1852-4222;Facultad de Ciencias Económicas y Estadística. Universidad Nacional de Rosario;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-4222&lng=es&nrm=iso
Salud colectiva;1669-2381;1851-8265;Universidad Nacional de Lanús;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-8265&lng=es&nrm=iso
Salud(i)Ciencia;1667-8682;1667-8990;Sociedad Iberoamericana de Informaciòn cientìfica;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1667-8990&lng=es&nrm=iso
Scripta Mediaevalia;1851-8753;2362-4868;Centro de Estudios Filosóficos Medievales, Facultad de Filosofía y Letras, Universidad Nacional de Cuyo;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-8753&lng=es&nrm=iso
Serie correlación geológica;;1666-9479;Instituto Superior de Correlación Geológica (INSUGEO-CONICET/UNT);https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1666-9479&lng=es&nrm=iso
Sociedad y religión;0326-9795;1853-7081;Area Sociedad, Cultura y Religión, Centro de Estudios e Investigaciones Laborales - CONICET;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1853-7081&lng=es&nrm=iso
Sociohistórica;;1852-1606;Centro de Investigaciones Socio Históricas, Departamento de Historia, Facultad de Humanidades y Ciencias de la Educación, Universidad Nacional de La Plata;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-1606&lng=es&nrm=iso
Synthesis (La Plata);0328-1205;1851-779X;Centro de Estudios Helénicos;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=0328-1205&lng=es&nrm=iso
Tecnología y Ciencia;;1666-6933;Universidad Tecnológica Nacional. Secretaría de Ciencia y Tecnología;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1666-6933&lng=es&nrm=iso
Temas de historia argentina y americana;;2618-1924;Universidad Católica Argentina;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2618-1924&lng=es&nrm=iso
Temas y Debates;;1853-984X;Universidad Nacional de Rosario. Facultad de Ciencia Política y Relaciones Internacionales;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1853-984X&lng=es&nrm=iso
Tópicos;1666-485X;1668-723X;Asociación Revista de Filosofía de Santa Fe;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1666-485X&lng=es&nrm=iso
Trabajo y sociedad;;1514-6871;Universidad Nacional de Santiago del Estero. Facultad de Humanidades y Ciencias Sociales. Instituto de Estudios para el desarrollo Social (INDES);https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1514-6871&lng=es&nrm=iso
Visión de futuro;1668-8708;1669-7634;Facultad de Ciencias Económicas, Universidad Nacional de Misiones;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1668-8708&lng=es&nrm=iso
