Título;ISSN impresa;ISSN en linea;Área;Instituto;URL
Contabilidad y auditoría (Buenos Aires);1515-2340;1852-446X;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/contabilidad-y-auditoria-buenos-aires/
Coordenadas (Río Cuarto);;2362-4752;Ciencias sociales y humanidades;Universidad Nacional de Río Cuarto ;https://www.caicyt-conicet.gov.ar/sitio/coordenadas-rio-cuarto/
Corpus (Mendoza);;1853-8037;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/corpus-mendoza/
Costos y gestión (En línea);;2545-8329;Ciencias sociales y humanidades;Instituto Argtino de Profesores Universitarios de Costos;https://www.caicyt-conicet.gov.ar/sitio/costos-y-gestion-en-linea/
Crítica y resistencias (En línea);;2525-0841;Ciencias sociales y humanidades;Universidad Nacional de Córdoba, Universidad Católica de Córdoba;https://www.caicyt-conicet.gov.ar/sitio/critica-y-resistencias-en-linea/
Cuaderno urbano;1666-6186;1853-3655;Ciencias agrarias, ingeniería y materiales;;https://www.caicyt-conicet.gov.ar/sitio/cuaderno-urbano/
Cuadernos de antropología social;0327-3776;1850-275X;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/cuadernos-de-antropologia-social/
Cuadernos de economía crítica (En línea);;2525-1538;Ciencias sociales y humanidades;Sociedad de Economía Crítica;https://www.caicyt-conicet.gov.ar/sitio/cuadernos-de-economia-critica-en-linea/
Cuadernos de extensión universitaria de la UNLPam (En linea);;2718-7500;Ciencias sociales y humanidades;Universidad Nacional de La Pampa;https://www.caicyt-conicet.gov.ar/sitio/cuadernos-de-extension-universitaria-de-la-unlpam-en-linea/
Cuadernos de H ideas;1851-8206;2313-9048;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/cuadernos-de-h-ideas/
Cuadernos de Herpetología;0326-551X;1852-5768;Ciencias exactas y naturales;;https://www.caicyt-conicet.gov.ar/sitio/cuadernos-de-herpetologia/
Cuadernos de historia de España (En línea);;1850-2717;Ciencias sociales y humanidades;Facultad de Filosofía y Letras Universidad de Buos Aires;https://www.caicyt-conicet.gov.ar/sitio/cuadernos-de-historia-de-espana-en-linea/
Cuadernos de historia del arte (En línea);;2618-5555;Ciencias sociales y humanidades;Facultad de Filosofía y Letras, Universidad Nacional de Cuyo;https://www.caicyt-conicet.gov.ar/sitio/cuadernos-de-historia-del-arte-en-linea/
Cuadernos de historia. Serie Economía y Sociedad (En línea);;2422-7544;Ciencias sociales y humanidades;Facultad de Filosofía y Humanidades, Universidad Nacional de Córdoba ;https://www.caicyt-conicet.gov.ar/sitio/cuadernos-de-historia-serie-economia-y-sociedad-en-linea/
Cuadernos de humanidades (Salta. En línea);;2683-782X;Ciencias sociales y humanidades;Facultad de Humanidades, Universidad Nacional de Salta;https://www.caicyt-conicet.gov.ar/sitio/cuadernos-de-humanidades-salta-en-linea/
Cuadernos de la Facultad de Humanidades y Ciencias Sociales. Universidad Nacional de Jujuy;;1668-8104;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/cuadernos-de-la-facultad-de-humanidades-y-ciencias-sociales-universidad-nacional-de-jujuy/
Cuadernos de Literatura (Universidad Nacional del Nordeste. En línea);;2684-0499;Ciencias sociales y humanidades;Facultad de Humanidades Universidad Nacional del Nordeste;https://www.caicyt-conicet.gov.ar/sitio/cuadernos-de-literatura-universidad-nacional-del-nordeste-en-linea/
Cuadernos de política exterior argentina (En línea);;1852-7213;Ciencias sociales y humanidades;Ctro de Estudios  Relaciones Internacionales de Rosario ;https://www.caicyt-conicet.gov.ar/sitio/cuadernos-de-politica-exterior-argentina-en-linea/
Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos;1668-0227;1853-3523;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/cuadernos-del-centro-de-estudios-en-diseno-y-comunicacion-ensayos/
Cuadernos del CILHA;1515-6125;1852-9615;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/cuadernos-del-cilha/
Cuadernos del CURIHAM (En línea);;2683-8168;Ciencias exactas y naturales;Facultad de Cicias Exactas, Ingiería y Agrimsura, Universidad Nacional de Rosario;https://www.caicyt-conicet.gov.ar/sitio/cuadernos-del-curiham-en-linea/
Cuadernos del Instituto Nacional de Antropología y Pensamiento Latinoamericano (En línea);;2422-7749;Ciencias sociales y humanidades;Instituto Nacional de Antropología y Psamito Latinoamericano, Ministerio de Cultura y Educación;https://www.caicyt-conicet.gov.ar/sitio/cuadernos-del-instituto-nacional-de-antropologia-y-pensamiento-latinoamericano-en-linea/
Cuadernos filosóficos (Rosario);1850-3667;2683-9024;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/cuadernos-filosoficos-rosario/
Cuadernos medievales;;2451-6821;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/cuadernos-medievales/
Cuestiones de sociología;;2346-8904;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/cuestiones-de-sociologia/
Cultura económica (En línea);;1852-5342;Ciencias sociales y humanidades;Facultad de Cicias Sociales y Económicas, Universidad Católica Argtina;https://www.caicyt-conicet.gov.ar/sitio/cultura-economica-en-linea/
Culturas (Santa Fe. En línea);;2362-5538;Ciencias sociales y humanidades;Facultad de Humanidades y Cicias ;https://www.caicyt-conicet.gov.ar/sitio/culturas-santa-fe-en-linea/
Cuyo anuario de filosofía argentina y americana;1514-9935;1853-3175;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/cuyo-anuario-de-filosofia-argentina-y-americana/
Cuyonomics (Mendoza);;2591-555X;Ciencias sociales y humanidades;Facultad de Cicias Económicas Universidad Nacional de Cuyo;https://www.caicyt-conicet.gov.ar/sitio/cuyonomics-mendoza/
Darwiniana;0011-6793;1850-1699;Ciencias exactas y naturales;;https://www.caicyt-conicet.gov.ar/sitio/darwiniana/
De prácticas y discursos;;2250-6942;Ciencias sociales y humanidades;Universidad Nacional del Nordeste;https://www.caicyt-conicet.gov.ar/sitio/de-practicas-y-discursos/
Debate universitario (Ciudad Autónoma de Buenos Aires);2314-1530;2314-2138;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/debate-universitario-ciudad-autonoma-de-buenos-aires/
Del prudente saber y el máximo posible de sabor (En línea);;2618-4141;Ciencias sociales y humanidades;Facultad de Cicias de la Educación, Universidad Nacional de tre Ríos ;https://www.caicyt-conicet.gov.ar/sitio/del-prudente-saber-y-el-maximo-posible-de-sabor-en-linea/
Delito y sociedad;;0328-0101;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/delito-y-sociedad/
Derecho y ciencias sociales (La Plata);1852-2971;1853-0982;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/derecho-y-ciencias-sociales-la-plata/
Dermatología argentina;;1669-1636;Ciencias biológicas y de la salud;;https://www.caicyt-conicet.gov.ar/sitio/dermatologia-argentina/
Desarrollo económico (Buenos Aires);;0046-001X;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/desarrollo-economico-buenos-aires/
Desarrollo, Estado y Espacio;;2796-9606;Ciencias sociales y humanidades;Facultad de Cicias Jurídicas y Sociales, Universidad Nacional del Litoral;https://www.caicyt-conicet.gov.ar/sitio/desarrollo-estado-y-espacio/
