Título;ISSN impresa;ISSN en linea;Área;Instituto;URL
Revista de filosofía y teoría política;0328-6223;2314-2553;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/revista-de-filosofia-y-teoria-politica/
Revista de geografía (San Juan);1514-1942;2618-2084;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/revista-de-geografia-san-juan/
Revista de geología aplicada a la ingeniería y el ambiente (En línea);;2422-5703;Ciencias exactas y naturales;Asociación Argtina de Geología Aplicada a la Ingiería;https://www.caicyt-conicet.gov.ar/sitio/revista-de-geologia-aplicada-a-la-ingenieria-y-el-ambiente-en-linea/
Revista de historia americana y argentina;0556-5960;2314-1549;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/revista-de-historia-americana-y-argentina/
Revista de historia de las prisiones;;2451-6473;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/revista-de-historia-de-las-prisiones/
Revista de historia del derecho;0325-1918;1853-1784;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/revista-de-historia-del-derecho/
Revista de la Asociación Argentina de Ortopedia y Traumatología;1515-1786;1852-7434;Ciencias biológicas y de la salud;;https://www.caicyt-conicet.gov.ar/sitio/revista-de-la-asociacion-argentina-de-ortopedia-y-traumatologia/
Revista de la Asociación Geológica Argentina;0004-4822;1851-8249;Ciencias exactas y naturales;;https://www.caicyt-conicet.gov.ar/sitio/revista-de-la-asociacion-geologica-argentina/
Revista de la Asociación Odontológica Argentina;0004-4881;2683-7226;Ciencias biológicas y de la salud;;https://www.caicyt-conicet.gov.ar/sitio/revista-de-la-asociacion-odontologica-argentina/
Revista de la Carrera de Sociología (Universidad de Buenos Aires);;1853-6484;Ciencias sociales y humanidades;Facultad de Cicias Sociales, Universidad de Buos Aires;https://www.caicyt-conicet.gov.ar/sitio/revista-de-la-carrera-de-sociologia-universidad-de-buenos-aires/
Revista de la Escuela de Antropología (En línea);;2618-2998;Ciencias sociales y humanidades;Universidad Nacional de Rosario;https://www.caicyt-conicet.gov.ar/sitio/revista-de-la-escuela-de-antropologia-en-linea/
Revista de la Escuela de Ciencias de la Educación;1851-6297;2362-3349;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/revista-de-la-escuela-de-ciencias-de-la-educacion/
Revista de la Facultad;1850-9371;2314-3061;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/revista-de-la-facultad/
Revista de la Facultad de Agronomía (La Plata);0041-8676;1669-9513;Ciencias agrarias, ingeniería y materiales;;https://www.caicyt-conicet.gov.ar/sitio/revista-de-la-facultad-de-agronomia-la-plata/
Revista de la Facultad de Ciencias Agrarias. Universidad Nacional de Cuyo;0370-4661;1853-8665;Ciencias agrarias, ingeniería y materiales;;https://www.caicyt-conicet.gov.ar/sitio/revista-de-la-facultad-de-ciencias-agrarias-universidad-nacional-de-cuyo/
Revista de la Facultad de Ciencias Económicas (En línea);;1668-6365;Ciencias sociales y humanidades;Universidad Nacional del Nordeste;https://www.caicyt-conicet.gov.ar/sitio/revista-de-la-facultad-de-ciencias-economicas-en-linea/
Revista de la Facultad de Ciencias Médicas de Córdoba;0014-6722;1853-0605;Ciencias biológicas y de la salud;;https://www.caicyt-conicet.gov.ar/sitio/revista-de-la-facultad-de-ciencias-medicas-de-cordoba/
Revista de la Facultad de Odontología. Universidad de Buenos Aires (En línea);;1668-8538;Ciencias biológicas y de la salud;Facultad de Odontología Universidad de Buos Aires;https://www.caicyt-conicet.gov.ar/sitio/revista-de-la-facultad-de-odontologia-universidad-de-buenos-aires-en-linea/
Revista de la Sociedad Argentina de Diabetes (En línea);0325-5247;2346-9420;Ciencias biológicas y de la salud;Sociedad Argtina de Diabetes ;https://www.caicyt-conicet.gov.ar/sitio/revista-de-la-sociedad-argentina-de-diabetes-en-linea/
Revista de la Sociedad Entomológica Argentina;0373-5680;1851-7471;Ciencias exactas y naturales;;https://www.caicyt-conicet.gov.ar/sitio/revista-de-la-sociedad-entomologica-argentina/
Revista de nefrología, diálisis y transplante;0326-3428;2346-8548;Ciencias biológicas y de la salud;;https://www.caicyt-conicet.gov.ar/sitio/revista-de-nefrologia-dialisis-y-transplante/
Revista de psicología;1669-2438;2469-2050;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/revista-de-psicologia/
Revista de psicología (La Plata, 2008, En línea);;2422-572X;Ciencias sociales y humanidades;Facultad de Psicología, Universidad Nacional de La Plata;https://www.caicyt-conicet.gov.ar/sitio/revista-de-psicologia-la-plata-2008-en-linea/
Revista de salud pública (Córdoba);1853-1180;1852-9429;Ciencias biológicas y de la salud;;https://www.caicyt-conicet.gov.ar/sitio/revista-de-salud-publica-cordoba/
Revista del Centro de Estudios de Sociología del Trabajo;1852-4648;1852-494X;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/revista-del-centro-de-estudios-de-sociologia-del-trabajo/
Revista del IICE (Ciudad Autónoma de Buenos Aires, En línea);;2451-5434;Ciencias sociales y humanidades;Facultad de Filosofía y Letras Universidad de Buos Aires;https://www.caicyt-conicet.gov.ar/sitio/revista-del-iice-ciudad-autonoma-de-buenos-aires-en-linea/
Revista del Instituto Superior de Música (En línea);;2362-3322;Ciencias sociales y humanidades;Instituto Superior de Música, Universidad Nacional del Litoral;https://www.caicyt-conicet.gov.ar/sitio/revista-del-instituto-superior-de-musica-en-linea/
Revista del Museo Argentino de Ciencias Naturales;1514-5158;1853-0400;Ciencias exactas y naturales;;https://www.caicyt-conicet.gov.ar/sitio/revista-del-museo-argentino-de-ciencias-naturales/
Revista del Museo de Antropología;1852-060X;1852-4826;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/revista-del-museo-de-antropologia/
Revista derecho y salud (En línea);;2591-3476;Ciencias sociales y humanidades;Universidad Blas Pascal;https://www.caicyt-conicet.gov.ar/sitio/revista-derecho-y-salud-en-linea/
Revista derechos en acción (En línea);;2525-1686;Ciencias sociales y humanidades;Facultad de Derecho, Universidad Nacional de La Plata;https://www.caicyt-conicet.gov.ar/sitio/revista-derechos-en-accion-en-linea/
Revista Discusiones (En línea);;2718-6474;Ciencias sociales y humanidades;Universidad Nacional del Sur;https://www.caicyt-conicet.gov.ar/sitio/revista-discusiones-en-linea/
Revista electrónica (Instituto de Investigaciones Jurídicas y Sociales Ambrosio L. Gioja);;1851-3069;Ciencias sociales y humanidades;Universidad de Buos Aires;https://www.caicyt-conicet.gov.ar/sitio/revista-electronica-instituto-de-investigaciones-juridicas-y-sociales-ambrosio-l-gioja/
Revista electrónica de derecho internacional contemporáneo (En línea);;2618-303X;Ciencias sociales y humanidades;Universidad Nacional de La Plata;https://www.caicyt-conicet.gov.ar/sitio/revista-electronica-de-derecho-internacional-contemporaneo-en-linea/
Revista Electrónica de divulgación de STEM de la Facultad de Ingeniería de la Universidad Nacional de la Patagonia San Juan Bosco;;2683-8648;Ciencias exactas y naturales;Universidad Nacional de la Patagonia San Juan Bosco;https://www.caicyt-conicet.gov.ar/sitio/revista-electronica-de-divulgacion-de-stem-de-la-facultad-de-ingenieria-de-la-universidad-nacional-de-la-patagonia-san-juan-bosco/
Revista electrónica de fuentes y archivos;;1853-4503;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/revista-electronica-de-fuentes-y-archivos/
Revista electrónica de investigación en educación en ciencias;;1850-6666;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/revista-electronica-de-investigacion-en-educacion-en-ciencias/
Revista elektrón;;2525-0159;Ciencias agrarias, ingeniería y materiales;;https://www.caicyt-conicet.gov.ar/sitio/revista-elektron/
Revista enfermería neonatal;;2591-6424;Ciencias biológicas y de la salud;Fundación para la Salud Materno Infantil;https://www.caicyt-conicet.gov.ar/sitio/revista-enfermeria-neonatal/
Revista entramados;;2422-6459;Ciencias sociales y humanidades;Facultad de Humanidades, Universidad Nacional de Mar del Plata;https://www.caicyt-conicet.gov.ar/sitio/revista-entramados/
Revista Escuela de historia;1667-4162;1669-9041;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/revista-escuela-de-historia/
Revista eurolatinoamericana de derecho administrativo;;2362-583X;Ciencias sociales y humanidades;Universidad Nacional del Litoral;https://www.caicyt-conicet.gov.ar/sitio/revista-eurolatinoamericana-de-derecho-administrativo/
Revista Hormigón (En línea);;2718-9058;Ciencias agrarias, ingeniería y materiales;Asociación Argtina de Tecnología del Hormigón ;https://www.caicyt-conicet.gov.ar/sitio/revista-hormigon-en-linea/
Revista iberoamericana de ciencia tecnología y sociedad;1668-0030;1850-0013;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/revista-iberoamericana-de-ciencia-tecnologia-y-sociedad/
Revista iberoamericana de tecnología en educación y educación en tecnología;1851-0086;1850-9959;Ciencias agrarias, ingeniería y materiales;;https://www.caicyt-conicet.gov.ar/sitio/revista-iberoamericana-de-tecnologia-en-educacion-y-educacion-en-tecnologia/
Revista industrial y agrícola de Tucumán;0370-5404;1851-3018;Ciencias agrarias, ingeniería y materiales;;https://www.caicyt-conicet.gov.ar/sitio/revista-industrial-y-agricola-de-tucuman/
Revista IRICE (En línea);;2618-4052;Ciencias sociales y humanidades;Instituto Rosario de Investigaciones  Cicias de la Educación;https://www.caicyt-conicet.gov.ar/sitio/revista-irice-en-linea/
Revista Jurídica Austral (En línea);;2684-057X;Ciencias sociales y humanidades;Facultad de Derecho Universidad Austral;https://www.caicyt-conicet.gov.ar/sitio/revista-juridica-austral-en-linea/
Revista Latinoamericana de Antropología del Trabajo;;2591-2755;Ciencias sociales y humanidades;Ctro de Estudios e Investigaciones Laborales, Consejo Nacional de Investigaciones Citíficas y Técnicas ;https://www.caicyt-conicet.gov.ar/sitio/revista-latinoamericana-de-antropologia-del-trabajo/
Revista latinoamericana de estudios críticos animales;;2346-920X;Ciencias sociales y humanidades;Instituto Latinoamericano de Estudios Críticos Animales;https://www.caicyt-conicet.gov.ar/sitio/revista-latinoamericana-de-estudios-criticos-animales/
Revista latinoamericana de estudios rurales;;2525-1635;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/revista-latinoamericana-de-estudios-rurales/
Revista latinoamericana de estudios sobre cuerpos, emociones y sociedad;;1852-8759;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/revista-latinoamericana-de-estudios-sobre-cuerpos-emociones-y-sociedad/
Revista latinoamericana de filosofía;0325-0725;1852-7353;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/revista-latinoamericana-de-filosofia/
Revista latinoamericana de filosofía política;;2250-8619;Ciencias sociales y humanidades;Ctro de Investigaciones Filosóficas, Consejo Nacional de Investigaciones Citíficas y Técnicas ;https://www.caicyt-conicet.gov.ar/sitio/revista-latinoamericana-de-filosofia-politica/
Revista latinoamericana de metodología de la investigación social;;1853-6190;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/revista-latinoamericana-de-metodologia-de-la-investigacion-social/
Revista latinoamericana de metodología de las ciencias sociales;;1853-7863;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/revista-latinoamericana-de-metodologia-de-las-ciencias-sociales/
Revista latinoamericana de políticas y administración de la educación;;2408-4573;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/revista-latinoamericana-de-politicas-y-administracion-de-la-educacion/
Revista notas de enfermería;;2618-3692;Ciencias biológicas y de la salud;Sanatorio Allde;https://www.caicyt-conicet.gov.ar/sitio/revista-notas-de-enfermeria/
Revista Pilquen. Sección ciencias sociales;1666-0579;1851-3123;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/revista-pilquen-seccion-ciencias-sociales/
Revista prefacio;;2591-3905;Ciencias sociales y humanidades;Universidad Nacional de Córdoba;https://www.caicyt-conicet.gov.ar/sitio/revista-prefacio/
Revista SAAP;1666-7883;1853-1970;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/revista-saap/
Revista TEFROS;;1669-726X;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/revista-tefros/
Revista Teología;0328-1396;2683-7307;Ciencias sociales y humanidades;Facultad de Teología, Pontificia Universidad Católica Argtina;https://www.caicyt-conicet.gov.ar/sitio/revista-teologia/
Revista transporte y territorio;;1852-7175;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/revista-transporte-y-territorio/
Revista Unidad Sanitaria XXI;;2718-8388;Ciencias biológicas y de la salud;Universidad Nacional de La Pampa ;https://www.caicyt-conicet.gov.ar/sitio/revista-unidad-sanitaria-xxi/
Revista universitaria de geografía;0326-8373;1852-4265;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/revista-universitaria-de-geografia/
Revista veterinaria;1668-4834;1669-6840;Ciencias agrarias, ingeniería y materiales;;https://www.caicyt-conicet.gov.ar/sitio/revista-veterinaria/
RIA. Revista de investigaciones agropecuarias;0325-8718;1669-2314;Ciencias agrarias, ingeniería y materiales;;https://www.caicyt-conicet.gov.ar/sitio/ria-revista-de-investigaciones-agropecuarias/
RiHumSo;;2250-8139;Ciencias sociales y humanidades;Universidad Nacional de La Matanza;https://www.caicyt-conicet.gov.ar/sitio/rihumso/
Runa;0325-1217;1851-9628;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/runa/
Saberes (Rosario);1852-4184;1852-4222;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/saberes-rosario/
SADIO electronic journal of informatics and operations research;;1514-6774;Ciencias agrarias, ingeniería y materiales;Sociedad Argtina de Informática e Investigación Operativa ;https://www.caicyt-conicet.gov.ar/sitio/sadio-electronic-journal-of-informatics-and-operations-research/
Salud colectiva;1669-2381;1851-8265;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/salud-colectiva/
Salud(i)ciencia;1667-8982;1667-8990;Ciencias biológicas y de la salud;;https://www.caicyt-conicet.gov.ar/sitio/saludiciencia/
Salud, Ciencia y Tecnología;;2796-9711;Ciencias biológicas y de la salud;Asociación Salud, Cicia y Tecnología;https://www.caicyt-conicet.gov.ar/sitio/salud-ciencia-y-tecnologia/
Scripta ethnologica (En línea);;1669-0990;Ciencias sociales y humanidades;Ctro Argtino de Etnología Americana;https://www.caicyt-conicet.gov.ar/sitio/scripta-ethnologica-en-linea/
Scripta mediaevalia (En línea);;2362-4868;Ciencias sociales y humanidades;Facultad de Filosofía y Letras, Universidad Nacional de Cuyo;https://www.caicyt-conicet.gov.ar/sitio/scripta-mediaevalia-en-linea/
Serie correlación geológica;1514-4186;1666-9479;Ciencias exactas y naturales;;https://www.caicyt-conicet.gov.ar/sitio/serie-correlacion-geologica/
Signo y seña (En línea);0327-8956;2314-2189;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/signo-y-sena-en-linea/
Sociedad y religión;0326-9795;1853-7081;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/sociedad-y-religion/
Sociedades precapitalistas;;2250-5121;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/sociedades-precapitalistas/
Sociohistórica (continúa de Cuadernos del CISH);1853-6344;1852-1606;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/sociohistorica-continua-de-cuadernos-del-cish/
Studia politicae;1669-7405;2408-4182;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/studia-politicae/
Studium, filosofía y teología (En línea);;2591-426X;Ciencias sociales y humanidades;Universidad del Norte Santo Tomas de Aquino;https://www.caicyt-conicet.gov.ar/sitio/studium-filosofia-y-teologia-en-linea/
Subjetividad y procesos cognitivos (En línea);;1852-7310;Ciencias sociales y humanidades;Universidad de Cicias Empresariales y Sociales;https://www.caicyt-conicet.gov.ar/sitio/subjetividad-y-procesos-cognitivos-en-linea/
Sudamérica (Mar del Plata, En línea);;2314-1174;Ciencias sociales y humanidades;Universidad Nacional de Mar del Plata;https://www.caicyt-conicet.gov.ar/sitio/sudamerica-mar-del-plata-en-linea/
Synthesis (La Plata);0328-1205;1851-779X;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/synthesis-la-plata/
Tábano (En línea);;2591-572X;Ciencias sociales y humanidades;Universidad Católica Argtina;https://www.caicyt-conicet.gov.ar/sitio/tabano-en-linea/
Tecnología y ciencia (En línea);;1666-6933;Ciencias agrarias, ingeniería y materiales;Universidad Tecnológica Nacional;https://www.caicyt-conicet.gov.ar/sitio/tecnologia-y-ciencia-en-linea/
Telar (En línea);1668-2963;1668-3633;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/telar-en-linea/
Temas de historia argentina y americana (En línea);;2618-1924;Ciencias sociales y humanidades;Facultad de Cicias Sociales, Pontificia Universidad Católica Argtina;https://www.caicyt-conicet.gov.ar/sitio/temas-de-historia-argentina-y-americana-en-linea/
Temas medievales;0327-5094;1850-2628;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/temas-medievales/
Temas y debates;1666-0714;1853-984X;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/temas-y-debates/
Testimonios (Ciudad Autónoma de Buenos Aires. 2009);;1852-4532;Ciencias sociales y humanidades;Universidad Nacional de Córdoba;https://www.caicyt-conicet.gov.ar/sitio/testimonios-ciudad-autonoma-de-buenos-aires-2009/
Toma Uno;;2250-4524;Ciencias sociales y humanidades;Facultad de Artes, Universidad Nacional de Córdoba;https://www.caicyt-conicet.gov.ar/sitio/toma-uno/
Tópicos (Santa Fe);1666-485X;1666-723X;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/topicos-santa-fe/
Trabajo y sociedad (Santiago del Estero);;1514-6871;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/trabajo-y-sociedad-santiago-del-estero/
Trabajos y comunicaciones – Departamento de Historia (La Plata);0325-173X;2346-8971;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/trabajos-y-comunicaciones-departamento-de-historia-la-plata/
Travesía (San Miguel de Tucumán);0329-9449;2314-2707;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/travesia-san-miguel-de-tucuman/
Vertex Revista Argentina de Psiquiatría (En línea);0327-6139;2718-904X;Ciencias biológicas y de la salud;;https://www.caicyt-conicet.gov.ar/sitio/vertex-revista-argentina-de-psiquiatria-en-linea/
Visión de futuro;1669-7634;1668-8708;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/vision-de-futuro/
Zona franca (Rosario, En línea);;2545-6504;Ciencias sociales y humanidades;Facultad de Humanidades y Artes, Universidad Nacional de Rosario;https://www.caicyt-conicet.gov.ar/sitio/zona-franca-rosario-en-linea/
1991. Revista de estudios internacionales;;2683-720X;Ciencias sociales y humanidades;Facultad de Cicias Sociales, Universidad Nacional de Córdoba ;https://www.caicyt-conicet.gov.ar/sitio/1991-revista-de-estudios-internacionales/
